,term,abbr_by_first_letters
11205,боуменовы железы,БЖ
11206,застойный сосок,ЗС
11208,симметрия двусторонняя,СД
11209,Cuneonavicularia dorsalia,CD
11210,пульс глазной артериальный,ПГА
11212,Дюпюи-Дютана операция,ДДО
11215,Хольцера окраска,ХО
11216,Bb. intermetatarsophalangeae,BI
11217,медицинский отряд специального назначения отдельный,МОСНО
11219,аберрация глаза,АГ
11224,синдром солевого истощения,ССИ
11226,Вольффа трансформационный закон,ВТЗ
11230,амбулаторно-поликлиническая помощь,АПП
11232,синдром вирильный,СВ
11234,Extensor digiti quinti proprius,EDQP
11235,складка головки придатка яичка,СГПЯ
11236,санитарная пристань,СП
11238,меню-раскладка,МР
11239,Бадера синдром,БС
11242,реакция отклонения комплемента,РОК
11244,антиконвульсивные средства,АС
11245,диализирующий раствор,ДР
11246,наркотическое средство,НС
11248,биотический потенциал,БП
11250,Фореля пучки,ФП
11251,Руда синдром,РС
11253,"справка о ранении (поражении, заболевании)",СОР(З
11256,оргазмическая платформа,ОП
11258,Мозенталя пароксизмальный синдром,МПС
11259,пищевое отравление,ПО
11265,синдром блокового нерва,СБН
11267,Серова амилоидобласты,СА
11269,"Triangulare (Krause),",T(
11270,коронка зуба экваторная,КЗЭ
11271,парамезонефрический проток,ПП
11273,тахикардия правожелудочковая,ТП
11275,"Pubofemorale (Henle),",P(
11276,противоэпилептические средства,ПС
11278,"Extensor carpi rectus,",ECR
11279,Plantaris arcus venosus,PAV
11281,синдром амнестический,СА
11286,Вальсальвы опыт,ВО
11288,Штиды болезнь,ШБ
11290,желудочный пузырь,ЖП
11291,Гюйона буж,ГБ
11292,лопаточная область,ЛО
11294,подостная ямка,ПЯ
11296,ветви к молочной железе,ВКМЖ
11299,глиома саркоматозная,ГС
11301,Кни anus praeternaturalis,КAP
11302,счетная единица,СЕ
11304,Гиллеспи простая деменция,ГПД
11307,ретроперитонит фиброзный идиопатический,РФИ
11309,нозоареал потенциальный,НП
11313,покрышечно-бульбарный путь,ПБП
11316,ножка мозга,НМ
11318,ножницы-кусачки реберные,НКР
11319,Эсмарха бинт,ЭБ
11320,Гейденгайна триацидная смесь,ГТС
11322,Остен-Сакена,ОС
11324,Вирхова теория раздражения,ВТР
11326,жаберная борозда,ЖБ
11327,зародышевый листок,ЗЛ
11333,офтальмия электрическая,ОЭ
11334,синдром галлюцинаторный,СГ
11335,Фурнье зубы,ФЗ
11336,энддиастолический объем,ЭО
11338,Оллье костная пластика,ОКП
11339,Блура смесь,БС
11340,луковица волоса,ЛВ
11343,Шепенса периферический хориоидит,ШПХ
11344,медицинский рефрижератор,МР
11345,"F. prerenalis,",FP
11347,сахарная проба Тумиотто,СПТ
11349,хрящ щитовидный,ХЩ
11351,принцип нестеснения,ПН
11352,синдром передней грудной стенки,СПГС
11353,блефарит-розацеа,БР
11354,сердечно-сосудистые средства,ССС
11355,удвоение пищеварительного тракта,УПТ
11356,Унны-Тоста синдром,УТС
11357,Vastus fibularis,VF
11358,половые признаки,ПП
11360,Грэма метод,ГМ
11361,поперечная ветвь,ПВ
11362,Руджери рефлекс,РР
11364,вертлужная ветвь,ВВ
11365,отбор искусственный,ОИ
11368,Межениной метод,ММ
11369,Juguli arcus venosus,JAV
11370,почка постоянная,ПП
11372,дентинные пластинки,ДП
11375,рисовидные тельца,РТ
11376,лекарственное вещество,ЛВ
11378,Cutaneus anterior (n. iliohypogastrici),CA(I
11379,пещеристое тело полового члена,ПТПЧ
11381,Штрассманна признак,ШП
11383,"Thoracalis aorta,",TA
11385,нингидриновая реакция,НР
11392,Cardinales anteriores,CA
11395,"Cavernosae (clitoridis),",C(
11396,мумификация 1,М1
11398,дерматит контактный,ДК
11399,L-глутаминовая кислота,LГК
11401,варикозное расширение вен семенного канатика,ВРВСК
11405,Spinales extemae posteriores,SEP
11407,Thyreoidea cranialis,TC
11408,Треквейра «остров зрения»,Т«З
11410,курортные факторы,КФ
11411,Диффенбаха операция,ДО
11413,Ниропа аппарат,НА
11415,метаболизм лекарственных веществ,МЛВ
11416,физическая подготовка войск,ФПВ
11419,панкреатические ветви,ПВ
11420,почка L-образная,ПLО
11423,стелька-супинатор,СС
11424,серологическое исследование,СИ
11425,Parietalis ramus,PR
11428,дерматит гангренозный,ДГ
11429,ареактивность клеточная,АК
11430,спазмолитические средства,СС
11431,Фишера-Брюгге синдром,ФБС
11432,Тычинкиной метод кожной пластики,ТМКП
11433,Nodi lymphatici prececales,NLP
11436,Ламбергера фрамбезиоформный дерматит,ЛФД
11439,тромбоцитоактивирующие факторы,ТФ
11441,status epilepticus,SE
11447,"Supinator longus,",SL
11449,"Talus secundus,",TS
11450,"Pudenda communis,",PC
11451,динамическое опустошение,ДО
11454,спирохета бледная,СБ
11455,Чудовского модификация декапитации,ЧМД
11457,недержание кала,НК
11458,арлекина синдром,АС
11461,ангиофиброма злокачественная,АЗ
11463,микотоксикоз острый алиментарный,МОА
11465,посттрансфузионная реакция,ПР
11466,аутогомопластика по Моулему,АПМ
11467,F. endothoracica,FE
11468,лицевой угол общий,ЛУО
11469,гемианестезия диссоциированная,ГД
11470,остеопатия врожденная рассеянная склерозирующая,ОВРС
11471,атрофия печени красная,АПК
11473,антагонизм 3 функциональный,А3Ф
11474,межвертельный гребень,МГ
11476,межжелудочковая борозда дорсальная,МБД
11477,Греффа Нади-реакция,ГНР
11478,Гулеке операция,ГО
11479,экзостоз сумчатый,ЭС
11481,Lockhart-Mummery,LM
11482,эстафетный способ выноса раненых,ЭСВР
11484,Снегирева кольпопоэз,СК
11485,Levator labii superioris,LLS
11486,ангина язвенно-пленчатая,АЯП
11487,лихорадка хейверхиллская,ЛХ
11493,медицинское страноведение,МС
11494,Паркинсона болезнь,ПБ
11495,эпителиома некротизирующаяся,ЭН
11496,ЭМИ-сканирование,ЭС
11498,альвеолярный воздух,АВ
11500,невринома типа А,НТА
11502,водянка оболочек яичка,ВОЯ
11503,Оппеля синдром,ОС
11504,счетная камера,СК
11505,Балинта диета,БД
11506,Падалки симптом,ПС
11507,"B. m. subscapularis,",BMS
11508,физическое перенапряжение,ФП
11511,бесшовное соединение тканей,БСТ
11512,селезенка в селезенке,СВС
11514,Барре проба,БП
11515,«бредовая работа»,«Р
11516,лягушка африканская древесная,ЛАД
11522,подслизистая основа,ПО
11523,симптом гвоздя,СГ
11524,эластическая сеть,ЭС
11525,ультрафиолетовая недостаточность,УН
11527,серная пробка,СП
11528,билитраст радиоактивный,БР
11531,Вишневского тампонада,ВТ
11532,слабость родовой деятельности,СРД
11533,недержание аффекта,НА
11535,бактериологическая петля,БП
11538,Липшютца хроническая мигрирующая эритема,ЛХМЭ
11540,Штеккеля половая стерилизация,ШПС
11541,плечелоктевой угол,ПУ
11544,осево-цилиндрический отросток,ОЦО
11547,Баумгартнера пинцет,БП
11550,заболеваемость 1,З1
11551,капилляр желчный,КЖ
11553,вяжущие средства,ВС
11554,молоко белковое,МБ
11557,furor maniacalis,FM
11558,кожевниковская эпилепсия,КЭ
11559,Бианки синдром,БС
11560,Филатова иридосклерэктомия,ФИ
11564,тифлоуретеростомия по Таддеи,ТПТ
11565,акролейкопатия симметричная,АС
11566,аденозинтрифосфорная кислота,АК
11568,комплекс QRST,КQ
11569,прививки антирабические,ПА
11570,Хатсусимы-Хакамори болезнь,ХХБ
11571,диабет старческий,ДС
11572,рог спинного мозга передний,РСМП
11573,язвы крыловидные,ЯК
11577,производственная среда,ПС
11580,медицинская коллегия,МК
11582,Ланнелонга щипцы,ЛЩ
11583,Лека окраска,ЛО
11585,базальная ветвь латеральная,БВЛ
11586,Банти гепатолиенальный синдром,БГС
11587,бензидиновая проба,БП
11588,Vastus tibialis,VT
11590,Шторка синдром,ШС
11591,полиморфная пластинка,ПП
11594,борозда зрительного пучка,БЗП
11595,антифагины Чистовича,АЧ
11596,Репке остеотомия,РО
11598,Carotici externi,CE
11600,Вартенберга симптом,ВС
11601,Piedraia hortai,PH
11602,пластырь жидкий,ПЖ
11605,меланоз нейродермальный,МН
11606,медуллярная пластинка,МП
11608,оттискная ложка,ОЛ
11609,Эрлангера формула,ЭФ
11610,Вериго эффект,ВЭ
11615,расстройство сознания,РС
11617,кетоглутаровая кислота,КК
11620,Скотта операция,СО
11621,тигроидное вещество,ТВ
11622,афты Беднара,АБ
11623,Пайра симптом,ПС
11625,перевязочный отряд полковой,ПОП
11626,дистрофия роговицы вторичная,ДРВ
11628,Дугласа мешок,ДМ
11631,Клауберга среда II,КСI
11632,Intercapitulares (pedis),I(
11633,сердце тиреотоксическое,СТ
11634,окситоциновая проба,ОП
11636,симптом поднимания по лестнице,СППЛ
11637,глоточная перепонка,ГП
11638,давность повреждения,ДП
11641,эктодермальный крестцово-копчиковый синус,ЭККС
11643,сознание сверхбодрствующее,СС
11644,Streptococcus pneumoniae,SP
11645,энцефалит вирусный Лангат,ЭВЛ
11647,артериализация вен,АВ
11649,Лебше долото,ЛД
11650,щель мочеиспускательного канала нижняя,ЩМКН
11653,Thyreoideus superior,TS
11654,Хегглина синдром,ХС
11655,отдел здравоохранения,ОЗ
11657,удвоение пищевода,УП
11658,Мак-Бернея операция,МБО
11659,Стейнтона-Капдепона синдром,СКС
11660,передовая база медицинского снабжения,ПБМС
11662,В Ваалера - Роуза проба,ВВРП
11664,"Arteriosa (Soemmerring),",A(
11665,проток улитки,ПУ
11666,лишай разноцветный,ЛР
11668,аденоматоз легких,АЛ
11669,индикатор биологический,ИБ
11674,дерматит травматический,ДТ
11675,Юдина способ улитки,ЮСУ
11678,Филатова метод кератопластики,ФМК
11681,кожный рог,КР
11683,Argyll Robertson,AR
11686,Nodi lymphatici pylorici,NLP
11688,вентиляция легких максимальная,ВЛМ
11690,Авцына проба,АП
11691,ноготь Гиппократа,НГ
11692,Давидсона реакция,ДР
11693,Лещенко рефлекс,ЛР
11694,Гиса угол,ГУ
11699,отросток бугра пяточной кости латеральный,ОБПКЛ
11707,Вартенберга рефлекс,ВР
11708,Джильи пила,ДП
11710,Palmaris superficialis ramus,PSR
11712,клей кожный,КК
11715,Германа хватательный симптом,ГХС
11718,"Lobulorum hepatis,",LH
11723,аденома бранхиогенная,АБ
11724,Nodi lymphatici epigastrici,NLE
11726,игла-вилка нейрохирургическая,ИВН
11728,почка тазовая,ПТ
11729,de Clerambault,DC
11730,головка полового члена,ГПЧ
11731,Гильдебранда операция,ГО
11732,метод бокового освещения,МБО
11733,симптом треснувшего горшка,СТГ
11734,переэтерификация жиров,ПЖ
11736,Мари-Фуа рефлекс,МФР
11737,Cerebelli superior,CS
11739,Сейделла папулезный муциноз кожи,СПМК
11742,глаз циклопический,ГЦ
11746,бульбовентрикулярная борозда,ББ
11748,Бехтерева хореическая эпилепсия,БХЭ
11749,Эверсбуша операция,ЭО
11750,Гауэра рефлекс,ГР
11751,hymenolepis nana,HN
11752,воспаление симпатическое,ВС
11754,стартовое состояние,СС
11755,Беккера псевдофолликулы,БП
11757,Брауна шприц,БШ
11765,пластинка крыши,ПК
11767,продырявленное вещество переднее,ПВП
11772,"Spinocostalis longus,",SL
11774,подкрыльцовая область,ПО
11778,"F. colli subcutanea,",FCS
11779,Фуа синдром,ФС
11780,энцефалит Сент-Луис,ЭСЛ
11781,адренолитические средства,АС
11782,свертывание крови,СК
11784,анализ хромосомный,АХ
11785,депрессорная реакция,ДР
11787,межсигмовидно-кишечный карман,МКК
11789,Пикина операция,ПО
11792,Купфера клетка,КК
11795,coltus reservatus,CR
11796,Гентера прием,ГП
11798,базедова триада,БТ
11799,дугласов карман,ДК
11800,фунгус пупка,ФП
11803,бугорок туберкулезный,БТ
11804,лимфома макрофолликулярная,ЛМ
11806,энцефалит вирусный клещевой,ЭВК
11808,глоточное сплетение восходящее,ГСВ
11809,ванны солнечные,ВС
11810,"Cephalica intema,",CI
11813,полный набор хромосом,ПНХ
11814,психические признаки вырождения,ППВ
11816,допустимое остаточное количество,ДОК
11818,Pancreatica magna,PM
11819,b-фруктофуранозидаза,BФ
11820,желточно-кишечный проток,ЖКП
11821,белое тело,БТ
11822,экзематозные колодцы,ЭК
11828,пиорея альвеолярная,ПА
11829,экзентерация глазницы,ЭГ
11831,петитов канал,ПК
11832,симптом мокрой тряпки,СМТ
11833,Фридланда артродез,ФА
11835,"Coronaria ventriculi superior,",CVS
11836,Квеккенштедта симптом,КС
11837,синдром желудочно-сердечный,СЖС
11838,Геллера проба,ГП
11841,Canaliculi cochleae,CC
11842,анальный канал,АК
11843,ножка завитка,НЗ
11844,анатомический молоток,АМ
11847,фистула уретроперинеальная,ФУ
11848,штамм аттенуированный,ША
11852,синдром гипоталамический,СГ
11853,Сиваша компрессионно-дистракционный аппарат,СКДА
11855,status lacunaris,SL
11856,орф-вирус,ОВ
11857,ультравысокочастотные токи,УТ
11860,de Lange,DL
11861,Краузе ламинэктом,КЛ
11862,фиброз эндомиокардиальный,ФЭ
11863,расстройство демаркации «я»,РД«
11864,Брауна болезнь,ББ
11866,беременность ложная,БЛ
11868,Форссмана антиген,ФА
11869,Искерского-Бито бляшки,ИББ
11871,Годжа плоскости,ГП
11872,конно-санитарная рота,КСР
11873,ахалазия кардии,АК
11874,Макарова прибор,МП
11875,курортный режим,КР
11879,Брауна операция,БО
11880,аксон-рефлекс,АР
11881,электрокимограф сцинтилляционный,ЭС
11882,эластический конус,ЭК
11883,гранулема паховая,ГП
11884,Капетанакиса экзематидоподобная пурпура,КЭП
11885,Adductor magnus,AM
11886,пограничный гребень,ПГ
11887,Вейля звездная проба,ВЗП
11889,пахионихия врожденная,ПВ
11893,стекловидный слои эпидермиса,ССЭ
11894,срединно-ключичная линия,СКЛ
11896,дерматит буллезный,ДБ
11897,Ротора синдром,РС
11898,половые состояния спорные,ПСС
11899,Гурлер синдром поздний,ГСП
11900,Auricularis anterior,AA
11905,Брока полиморфный болезненный дерматит,БПБД
11906,Йозефа отопластика,ЙО
11907,антагонизм 2 микробов,А2М
11908,доза 1,Д1
11909,малярия-терапия,МТ
11911,paracusis willisii,PW
11912,гипоспадия женская,ГЖ
11913,Джеймса зернистость,ДЗ
11917,полиартрит ревматоидный,ПР
11918,двойной блок,ДБ
11919,обескровливание по Эсмарху,ОПЭ
11920,бульбовентрикулярное отверстие,БО
11921,Laryngeus inferior,LI
11924,медицинский учет,МУ
11925,эпителиальные тельца,ЭТ
11926,мозг конечный,МК
11927,Вайнгартена синдром,ВС
11928,Vesicates inferiores,VI
11929,Краснобаева костный шов,ККШ
11931,"Cerebellaris inferior rostralis,",CIR
11932,Plantaris profundus ramus,PPR
11933,Зеелерта психозы,ЗП
11934,части А аденоз мультигландулярный,ЧААМ
11935,нерв-депрессор,НД
11936,Бира метод,БМ
11937,фаза медленной реполяризации,ФМР
11940,Subscapulares rami,SR
11941,Сакса эндокардит,СЭ
11944,фактор питания,ФП
11945,группы крови лейкоцитарные,ГКЛ
11946,дерматит фолликулярный,ДФ
11947,Герксгеймера атрофодерматит,ГА
11953,Тодда паралич,ТП
11954,Лейхтенштерна синдром,ЛС
11956,редукционное тельце,РТ
11957,Витцеля илеостомия,ВИ
11959,инфекция хирургическая,ИХ
11960,Джейнуэя симптом,ДС
11961,"Malleoli externi superius,",MES
11962,лимфогранулема паховая,ЛП
11964,B. m. infra spinam,BMIS
11965,маточка мужская,ММ
11966,пурпура Зейдльмайера,ПЗ
11970,диагноз эпидемиологический,ДЭ
11972,панартериит нодозный,ПН
11974,Sphincter pupillae,SP
11975,Thyroidea superior,TS
11976,губной желобок,ГЖ
11979,неврастения паралитическая,НП
11980,Сиваша шина,СШ
11981,Umbilicale medium,UM
11983,нейроэпителиома сетчатки,НС
11989,Буйо синдром,БС
11990,иква лихорадка,ИЛ
11995,хрящ века,ХВ
11996,лихорадка Иква,ЛИ
11997,пневмонит волчаночный,ПВ
11999,ДОФА-реакция,ДР
12001,связка яичка направляющая,СЯН
12002,тромб экстраваскулярный,ТЭ
12004,"Malare os,",MO
12005,вегетативная форма,ВФ
12006,нотнагелевский паралич,НП
12009,B. m. sartorii propria,BMSP
12012,Замтера операция,ЗО
12013,Буша окраска,БО
12015,Rectae medullares arteriolae,RMA
12018,центральный луч,ЦЛ
12019,артериальный ствол общий,АСО
12022,Кончаловского симптом,КС
12023,в Кулля метод,ВКМ
12025,b-оксимасляная кислота,BОК
12026,тиф сыпной крысиный саванн тропической Африки,ТСКСТА
12027,Ариас-Стеллы феномен,АСФ
12029,струна пупочной вены,СПВ
12030,струма злокачественная,СЗ
12031,капсула 1,К1
12033,Teres uteri,TU
12036,ортодонтическая дуга,ОД
12038,Jobert de Lamballe,JDL
12039,линия склеивания костной ткани,ЛСКТ
12040,титрование комплемента,ТК
12042,биомикроскопия глаза,БГ
12044,инфлюэнц-менингит,ИМ
12046,заворот кишок,ЗК
12047,почка зернистая,ПЗ
12048,Гано цирроз печени,ГЦП
12049,зона санитарной охраны,ЗСО
12050,Комберга метод,КМ
12051,феномен пурпуры,ФП
12052,Брока афазия,БА
12053,запоздалый белый феномен,ЗБФ
12055,Rectalis plexus venosus,RPV
12061,питательное отверстие,ПО
12064,ламбо-ламбо,ЛЛ
12065,моллюск сальный,МС
12067,Филагриуса операция,ФО
12069,Sympathica ganglii ciliaris,SGC
12072,Ниссля хроническое заболевание,НХЗ
12074,Брейера рефлексы,БР
12077,нож-распатор,НР
12078,пограничная борозда,ПБ
12079,Героты жировая масса,ГЖМ
12081,поперечный синус,ПС
12084,канкроидные тельца,КТ
12085,стриарные ветви,СВ
12086,L-форма,LФ
12088,симптом иллюзии двойников,СИД
12089,Orbicularis oculi,OO
12091,аллантоидный проток,АП
12093,"Pharyngis plexus venosus anterior,",PPVA
12095,госпитально-санитарное судно,ГСС
12097,Штилле аппарат,ША
12099,бета-базофилы,ББ
12100,Варелы-Фуэнтеса метод,ВФМ
12101,зрительный бугор,ЗБ
12104,слух музыкальный,СМ
12105,Байярже внутренняя полоска,БВП
12106,сустав(-ы),СЫ
12110,афазия интонационная,АИ
12111,медицинская разведывательная группа,МРГ
12114,стандартизованный коэффициент,СК
12115,Van den Bergh,VDB
12117,Хартнупа болезнь,ХБ
12118,обезвреживание почвенное,ОП
12119,"plantares propriae (PNA),",PP(
12120,биоклиматическая служба,БС
12121,Вредена операция,ВО
12123,энтодерма первичная,ЭП
12124,Мартина операция,МО
12125,Регалы синдром,РС
12126,"F. psoatica,",FP
12128,мерцание предсердий,МП
12130,полушарие головного мозга,ПГМ
12133,Дальгрена кусачки,ДК
12134,Brown-Sequard,BS
12136,Posterior descendens ramus,PDR
12137,Бека болезнь,ББ
12139,Драгстедта ваготомия,ДВ
12140,лопаточно-ключичный треугольник,ЛКТ
12141,Galli-Mainini,GM
12143,бугор червя,БЧ
12144,фатеров дивертикул,ФД
12146,слуховая петля,СП
12149,печеночный изгиб,ПИ
12150,Cutanei cruris mediates (n. sapheni),CCM(S
12151,брадителекинез Шильдера,БШ
12154,сетчато-спинномозговой путь,ССП
12155,Адамса борозда,АБ
12158,аэродромный приемник,АП
12159,гортанно-трахеальная бороздка,ГТБ
12161,желчный пузырь чешуйчатый,ЖПЧ
12162,линия инбредная,ЛИ
12163,Ван-Ден-Берга реакция,ВДБР
12165,гиперкератоз ретенционный,ГР
12167,синдром постгастроэнтеростомический,СП
12171,флегмона коричневая,ФК
12172,K-фактор,KФ
12173,Шоттера операция,ШО
12175,контрастные вещества,КВ
12176,пузырек предстательной железы,ППЖ
12182,гландулоцит париетальный,ГП
12183,Уокера операция,УО
12184,глазной стебелек,ГС
12185,Крейцфукса феномен,КФ
12186,Франке игла,ФИ
12187,функциональное зонирование,ФЗ
12188,антинуклеарный фактор,АФ
12190,Френкеля диплококк,ФД
12191,Зальцманна дистрофия роговицы,ЗДР
12192,болезни ECHO-вирусные,БEВ
12193,выхлопные газы,ВГ
12194,нитевидный сосочек,НС
12195,военно-санитарный склад,ВСС
12197,Куино схема,КС
12198,Мура операция,МО
12199,санитарно-эпидемиологический,СЭ
12200,Клейншмидта разрез,КР
12204,Аминева метод,АМ
12205,естественный отбор,ЕО
12206,Шеде тенотомия,ШТ
12208,F. superficialis perinei,FSP
12209,перихориоидальное пространство,ПП
12214,миллиграмм-эквивалент радия,МЭР
12216,адаптационная реакция,АР
12217,надгребневая плоскость,НП
12218,"Interventricularis posterior,",IP
12219,марля гемостатическая,МГ
12220,синдром тромбоза кавернозного синуса,СТКС
12221,кора мозжечка,КМ
12222,Широкогорова синдром,ШС
12224,газовые часы,ГЧ
12227,постларвальные сегменты,ПС
12228,Рейтера синдром,РС
12229,синдром височной доли,СВД
12230,противозачаточная губка,ПГ
12232,Краснобаева периостотомия,КП
12233,Фолькманна санный аппарат,ФСА
12236,Genus descendens,GD
12237,утилизация белка чистая,УБЧ
12238,теневая проба,ТП
12239,сифилоид постэрозивный кругообразный,СПК
12240,диатермия коротковолновая,ДК
12241,Caroticus communis,CC
12242,полиомиелит эпидемический острый,ПЭО
12244,Графа операция,ГО
12245,B. anserina,BA
12246,амбулаторно-поликлинические учреждения,АПУ
12247,ацил-КоА,АК
12249,ретикулогистиоцитоз нелипоидный,РН
12251,Gastroepiploica sinistra,GS
12252,эквифазность зубцов электрокардиограммы,ЭЗЭ
12255,якобсонов орган,ЯО
12257,дренаж 1,Д1
12258,F. interossea dorsalis manus,FIDM
12259,Аронсона среда,АС
12260,лечебная кулинария,ЛК
12263,белое вещество,БВ
12264,метахроматические зерна,МЗ
12266,Digitales dorsales pedis,DDP
12269,Эвальда химическая проба,ЭХП
12270,грязевой вулкан,ГВ
12271,вывих нерва,ВН
12272,F. transversalis,FT
12275,Коупа симптом,КС
12276,Брикнера симптом,БС
12277,Вернике центр,ВЦ
12279,синдром слабости синусного узла,СССУ
12282,жировой метаморфоз печени,ЖМП
12283,"Flexor digitorum perforans pedis,",FDPP
12285,лихорадка москитная,ЛМ
12286,Купера признак,КП
12288,Пуркинье волокно,ПВ
12289,атаксия мозжечковая наследственная,АМН
12291,невропатия зрительного нерва,НЗН
12292,игла-шпатель,ИШ
12293,функциональная проба,ФП
12294,антитела клеточные,АК
12295,диабет сахарный физиологический,ДСФ
12296,"Cricothyreoidea lateralia,",CL
12297,птеригиум ногтя,ПН
12298,слуховые полоски,СП
12299,Costotransversarium externum,CE
12300,липома инфильтрирующая,ЛИ
12303,внутриплевральное давление,ВД
12306,Мак-Кензи симптом,МКС
12308,дерматит солнечный,ДС
12309,пневмокониоз поздний,ПП
12313,Depressor septi nasi,DSN
12314,демаркационная линия,ДЛ
12315,коллизия близнецов,КБ
12316,минутный объем сердца,МОС
12317,кровяные островки,КО
12318,Фолькманна эхинококкэктомия,ФЭ
12322,межчерпаловидная вырезка,МВ
12323,Гиппократа митра,ГМ
12324,Digitales plahtares,DP
12325,Мюллера пластика,МП
12327,симптом носовых гребешков,СНГ
12328,Extensor carpi radialis longus,ECRL
12330,"Cavernosi concharum plexus,",CCP
12331,Оливекруны трепанация,ОТ
12332,Горяева счетная камера,ГСК
12333,Дельма-Марсале рефлекс элементарной осанки,ДМРЭО
12334,противохимическая сумка,ПС
12336,Ламбера-Венгловского шов,ЛВШ
12337,межреберные ветви передние,МВП
12338,сердечный шум,СШ
12339,плотность заражения,ПЗ
12340,Nasales laterales,NL
12343,аденофиброма коллоидная,АК
12344,артериальный круг большого мозга,АКБМ
12346,апертура лобной пазухи,АЛП
12347,impotentia generandi,IG
12348,кроватка-грелка,КГ
12351,лаваж гастральный,ЛГ
12353,Хакстхаусена синдром,ХС
12356,Крукенберга ампутация,КА
12358,Фибигера синдром,ФС
12360,Крайла гемостаз,КГ
12362,желчевыносящий проток,ЖП
12364,зубы-антагонисты,ЗА
12366,двойной зеленый,ДЗ
12367,патологическая пораженность,ПП
12370,болезни внутренние,БВ
12373,Дюпре эмотивная конституция,ДЭК
12378,желтуха ювенильная перемежающаяся,ЖЮП
12382,Марри операция,МО
12383,проба с бензойнокислым натрием,ПСБН
12388,липома шеи диффузная,ЛШД
12390,прекордиальная область,ПО
12393,Фюрта проба,ФП
12395,Орбели адаптационно-трофическая теория,ОАТТ
12398,эритроцианоз кожи симметричный,ЭКС
12399,ротовая щель,РЩ
12400,электрография интракардиальная,ЭИ
12401,дерматит околоротовой,ДО
12402,зонд-игла Богуша,ЗИБ
12403,зрачок искусственный,ЗИ
12404,Гроссмана симптом,ГС
12407,г grand mal,ГGM
12408,эмпиема желчного пузыря,ЭЖП
12409,система пропердиновая,СП
12411,"признак, ограниченный полом",ПОП
12413,карцинома светлоклеточная,КС
12419,praecox gefuhl,PG
12420,антиген сывороточного гепатита,АСГ
12421,подчелюстная ямка,ПЯ
12423,адгезивный процесс,АП
12428,Форбса костная пластика,ФКП
12429,палочка брюшнотифозная,ПБ
12432,Ciliares posteriores breves,CPB
12433,Гольдциера операция,ГО
12434,губа преддверного края,ГПК
12435,диабет аллоксановый,ДА
12437,Гроллмена метод,ГМ
12438,психогальваническая реакция,ПР
12440,теория критических периодов,ТКП
12441,Томсона синдром,ТС
12443,Metacarpea dorsalis,MD
12444,паралич взора психический,ПВП
12445,Рапопорта иммунобласт,РИ
12448,Боннье синдром,БС
12450,биотермические методы,БМ
12451,Мибелли порокератоз,МП
12452,Хопфа веррукозный акрокератоз,ХВА
12453,цензура внутрипсихическая,ЦВ
12454,эпидермоцит шиповатый,ЭШ
12455,Vag. synovialis mm. peroneorum (fibularium) communis,VSMP(C
12456,Dipylidium caninum,DC
12459,французский способ пластики,ФСП
12460,Пинье индекс,ПИ
12461,Жандрена признак,ЖП
12466,гиперлипоидемия гепатомегалическая,ГГ
12468,Каккьоне синдром,КС
12469,аутотрансплантация почки,АП
12471,Бона узелки,БУ
12472,"Cutanea femoris posterior,",CFP
12474,медицинская каркасная,МК
12477,полосатое тело,ПТ
12479,пировиноградная кислота,ПК
12482,Rectales inferiores,RI
12487,Штейнманна симптом,ШС
12488,гнездо раненых,ГР
12490,сердце легочное,СЛ
12492,Гритти - Стокса операция,ГСО
12493,слепое отверстие языка,СОЯ
12501,гриб леечный,ГЛ
12504,Фореля спайка,ФС
12507,Ибрагима болезнь,ИБ
12508,узелки Ослера,УО
12509,вв санитарный транспортер,ВСТ
12510,тромбопластический фактор плазмы А,ТФПА
12512,Opponens pollicis,OP
12513,лекарственные взвеси,ЛВ
12514,Фара гломерулосклероз,ФГ
12515,синдром панастении,СП
12517,Гласса метод,ГМ
12518,диабет несахарный,ДН
12519,лимфаденоидное глоточное кольцо,ЛГК
12520,болезни кожи гнойничковые,БКГ
12521,плацента двудолевая,ПД
12522,стрептококк(-и),СИ
12526,Сапежко способ,СС
12527,Iliocostalis cervicis,IC
12529,дебит воды (газа),ДВ(
12532,"Teres acetabuli,",TA
12539,паравезикальное пространство,ПП
12540,базальный индекс,БИ
12543,Хейли-Хейли болезнь,ХХБ
12544,корешок спинномозгового нерва,КСН
12545,Pudenda interna,PI
12546,вагосимпатическая блокада,ВБ
12547,аденома граафовых пузырьков,АГП
12548,leucopenia innocens,LI
12549,эритема индуративная гипостатическая,ЭИГ
12550,Ивемарка синдром,ИС
12554,углубление диска,УД
12555,Гебердена болезнь,ГБ
12556,селезеночные ветви,СВ
12557,см. прямодержатель спинозопластика,СПС
12559,диабет солевой почечный,ДСП
12561,корень языка,КЯ
12563,интерпозиция матки пузырно-влагалищная,ИМПВ
12565,альвеолярно-капиллярный блок,АКБ
12566,крезиловый синий блестящий,КСБ
12570,легкое зеркальное,ЛЗ
12571,"Cavi tympani,",CT
12574,медвежья лапа,МЛ
12576,почка тигровая,ПТ
12578,Tarsea fibularis,TF
12579,Isthmi faucium,IF
12580,подсерозная основа,ПО
12581,удерживатель сухожилий мышц-сгибателей,УСМС
12582,Чаччо метод,ЧМ
12584,лимфатическая реакция,ЛР
12585,щитовидная вырезка нижняя,ЩВН
