term,abbr_by_first_letters
Dercum,D
стереорентгеноскопия,С
неврастения паралитическая,НП
Сиваша шина,СШ
Umbilicale medium,UM
Epicranii,E
нейроэпителиома сетчатки,НС
фармакопсихология,Ф
Гюблер,Г
Гвиста,Г
акросклероз,А
полярография,П
Буйо синдром,БС
иква лихорадка,ИЛ
Chevidally,C
центрифугирование,Ц
тубоотит,Т
рубромикоз,Р
хрящ века,ХВ
лихорадка Иква,ЛИ
пневмонит волчаночный,ПВ
Cricothyreoideum,C
ДОФА-реакция,ДР
Папп,П
связка яичка направляющая,СЯН
тромб экстраваскулярный,ТЭ
Boeke,B
"Malare os,",MO
вегетативная форма,ВФ
нотнагелевский паралич,НП
оментография,О
кринома,К
B. m. sartorii propria,BMSP
желатина,Ж
Зик,З
Замтера операция,ЗО
Буша окраска,БО
Хенщен,Х
Rectae medullares arteriolae,RMA
Siegemundin,S
псевдоанемия,П
центральный луч,ЦЛ
артериальный ствол общий,АСО
парагранулема,П
метакарпальный,М
Кончаловского симптом,КС
в Кулля метод,ВКМ
телефонофобия,Т
b-оксимасляная кислота,BОК
тиф сыпной крысиный саванн тропической Африки,ТСКСТА
Ариас-Стеллы феномен,АСФ
ложноножки,Л
струна пупочной вены,СПВ
струма злокачественная,СЗ
капсула 1,К1
Кункеля,К
Teres uteri,TU
эйхофобия,Э
Пачини,П
ортодонтическая дуга,ОД
планотопокинезия,П
Jobert de Lamballe,JDL
линия склеивания костной ткани,ЛСКТ
титрование комплемента,ТК
Парам,П
биомикроскопия глаза,БГ
"Epididymicae,",E
инфлюэнц-менингит,ИМ
кининогеназы,К
заворот кишок,ЗК
почка зернистая,ПЗ
Гано цирроз печени,ГЦП
зона санитарной охраны,ЗСО
Комберга метод,КМ
феномен пурпуры,ФП
Брока афазия,БА
запоздалый белый феномен,ЗБФ
сферолит,С
Rectalis plexus venosus,RPV
Уэвера,У
Morrow,M
таламотомия,Т
сульфгемоглобин,С
кариоплазма,К
питательное отверстие,ПО
антракоз,А
эритробластограмма,Э
ламбо-ламбо,ЛЛ
моллюск сальный,МС
гомилопатия,Г
Филагриуса операция,ФО
грудина,Г
Sympathica ganglii ciliaris,SGC
Glenard,G
Burch,B
Ниссля хроническое заболевание,НХЗ
полифалангия,П
Брейера рефлексы,БР
фармакокинетика,Ф
"deltoidea,",D
нож-распатор,НР
пограничная борозда,ПБ
Героты жировая масса,ГЖМ
цистоцеле,Ц
поперечный синус,ПС
мукоромикоз,М
фалангизация,Ф
канкроидные тельца,КТ
стриарные ветви,СВ
L-форма,LФ
пневмопиелоуретерография,П
симптом иллюзии двойников,СИД
Orbicularis oculi,OO
токоферолы,Т
аллантоидный проток,АП
хондроцит,Х
"Pharyngis plexus venosus anterior,",PPVA
Брока,Б
госпитально-санитарное судно,ГСС
фасцит,Ф
Штилле аппарат,ША
Atlas,A
бета-базофилы,ББ
Варелы-Фуэнтеса метод,ВФМ
зрительный бугор,ЗБ
электродерматом,Э
токсоплазмоз,Т
слух музыкальный,СМ
Байярже внутренняя полоска,БВП
сустав(-ы),СЫ
фотоэлектроколориметрия,Ф
кардифон,К
Каст,К
афазия интонационная,АИ
медицинская разведывательная группа,МРГ
Аргонса,А
неокортекс,Н
стандартизованный коэффициент,СК
Van den Bergh,VDB
Mingazzini,M
Хартнупа болезнь,ХБ
обезвреживание почвенное,ОП
"plantares propriae (PNA),",PP(
биоклиматическая служба,БС
Вредена операция,ВО
спондилодез,С
энтодерма первичная,ЭП
Мартина операция,МО
Регалы синдром,РС
"F. psoatica,",FP
цинк,Ц
мерцание предсердий,МП
тоническое,Т
полушарие головного мозга,ПГМ
апраксия,А
гипнотерапия,Г
Дальгрена кусачки,ДК
Brown-Sequard,BS
Streiff,S
Posterior descendens ramus,PDR
Бека болезнь,ББ
омброфобия,О
Драгстедта ваготомия,ДВ
лопаточно-ключичный треугольник,ЛКТ
Galli-Mainini,GM
электронаркоз,Э
бугор червя,БЧ
фатеров дивертикул,ФД
фармакотерапия,Ф
слуховая петля,СП
Merkel,M
холецистотомия,Х
печеночный изгиб,ПИ
Cutanei cruris mediates (n. sapheni),CCM(S
брадителекинез Шильдера,БШ
авторентген,А
V,V
сетчато-спинномозговой путь,ССП
Адамса борозда,АБ
Thornton,T
гнойник,Г
аэродромный приемник,АП
гортанно-трахеальная бороздка,ГТБ
Salmonella,S
желчный пузырь чешуйчатый,ЖПЧ
линия инбредная,ЛИ
Ван-Ден-Берга реакция,ВДБР
нейроспора,Н
гиперкератоз ретенционный,ГР
Polya,P
синдром постгастроэнтеростомический,СП
дистиллятор,Д
Моргана,М
пневмоторакс,П
флегмона коричневая,ФК
K-фактор,KФ
Шоттера операция,ШО
Thoracodorsalis,T
контрастные вещества,КВ
пузырек предстательной железы,ППЖ
Omphalomesenterica,O
олигосиалия,О
аутоантитела,А
простион,П
Bipartitum,B
гландулоцит париетальный,ГП
Уокера операция,УО
глазной стебелек,ГС
Крейцфукса феномен,КФ
Франке игла,ФИ
функциональное зонирование,ФЗ
антинуклеарный фактор,АФ
Ласков,Л
Френкеля диплококк,ФД
Зальцманна дистрофия роговицы,ЗДР
болезни ECHO-вирусные,БEВ
выхлопные газы,ВГ
нитевидный сосочек,НС
военно-санитарный склад,ВСС
гемолизины,Г
Куино схема,КС
Мура операция,МО
санитарно-эпидемиологический,СЭ
Клейншмидта разрез,КР
эктопаразит,Э
авидитет,А
катаплексия,К
Аминева метод,АМ
естественный отбор,ЕО
Шеде тенотомия,ШТ
агорафобия,А
F. superficialis perinei,FSP
перихориоидальное пространство,ПП
Pellizzari,P
алексия,А
Beck,B
уробилинурия,У
миллиграмм-эквивалент радия,МЭР
псевдогидроцефалия,П
адаптационная реакция,АР
надгребневая плоскость,НП
"Interventricularis posterior,",IP
марля гемостатическая,МГ
синдром тромбоза кавернозного синуса,СТКС
кора мозжечка,КМ
Широкогорова синдром,ШС
Pectineale,P
газовые часы,ГЧ
инфра-,И
койлонихия,К
постларвальные сегменты,ПС
Рейтера синдром,РС
синдром височной доли,СВД
противозачаточная губка,ПГ
Corti,C
Краснобаева периостотомия,КП
Фолькманна санный аппарат,ФСА
энтеропроктостомия,Э
мицетология,М
Genus descendens,GD
утилизация белка чистая,УБЧ
теневая проба,ТП
сифилоид постэрозивный кругообразный,СПК
диатермия коротковолновая,ДК
Caroticus communis,CC
полиомиелит эпидемический острый,ПЭО
intrapelvina,I
Графа операция,ГО
B. anserina,BA
амбулаторно-поликлинические учреждения,АПУ
ацил-КоА,АК
вестигий,В
ретикулогистиоцитоз нелипоидный,РН
лютеоцит,Л
Gastroepiploica sinistra,GS
эквифазность зубцов электрокардиограммы,ЭЗЭ
аутокератофакия,А
претрахома,П
якобсонов орган,ЯО
семенник,С
дренаж 1,Д1
F. interossea dorsalis manus,FIDM
Аронсона среда,АС
лечебная кулинария,ЛК
нитрокрасители,Н
Вирхов,В
белое вещество,БВ
метахроматические зерна,МЗ
перицементит,П
Digitales dorsales pedis,DDP
агапэ,А
МВЛ,М
Эвальда химическая проба,ЭХП
грязевой вулкан,ГВ
вывих нерва,ВН
F. transversalis,FT
сигмостомия,С
молизмофобия,М
Коупа симптом,КС
Брикнера симптом,БС
Вернике центр,ВЦ
интрадермальный,И
синдром слабости синусного узла,СССУ
Лоранд,Л
демография,Д
жировой метаморфоз печени,ЖМП
"Flexor digitorum perforans pedis,",FDPP
интестиноскопия,И
лихорадка москитная,ЛМ
Купера признак,КП
генитография,Г
Пуркинье волокно,ПВ
атаксия мозжечковая наследственная,АМН
лимфоретикулоцитома,Л
невропатия зрительного нерва,НЗН
игла-шпатель,ИШ
функциональная проба,ФП
антитела клеточные,АК
диабет сахарный физиологический,ДСФ
"Cricothyreoidea lateralia,",CL
птеригиум ногтя,ПН
слуховые полоски,СП
Costotransversarium externum,CE
липома инфильтрирующая,ЛИ
лиофильность,Л
биовизор,Б
внутриплевральное давление,ВД
гастропластика,Г
компостирование,К
Мак-Кензи симптом,МКС
Альбаррана,А
дерматит солнечный,ДС
пневмокониоз поздний,ПП
протрагированный,П
Нелатона,Н
Arzberger,A
Depressor septi nasi,DSN
демаркационная линия,ДЛ
коллизия близнецов,КБ
минутный объем сердца,МОС
кровяные островки,КО
Фолькманна эхинококкэктомия,ФЭ
этмоидальный,Э
стереокардиограф,С
дефектар,Д
межчерпаловидная вырезка,МВ
Гиппократа митра,ГМ
Digitales plahtares,DP
Мюллера пластика,МП
тиксотропия,Т
симптом носовых гребешков,СНГ
Extensor carpi radialis longus,ECRL
идео-,И
"Cavernosi concharum plexus,",CCP
Оливекруны трепанация,ОТ
Горяева счетная камера,ГСК
Дельма-Марсале рефлекс элементарной осанки,ДМРЭО
противохимическая сумка,ПС
аллелотип,А
Ламбера-Венгловского шов,ЛВШ
межреберные ветви передние,МВП
сердечный шум,СШ
плотность заражения,ПЗ
Nasales laterales,NL
"glutea,",G
спорициды,С
аденофиброма коллоидная,АК
артериальный круг большого мозга,АКБМ
тампон,Т
апертура лобной пазухи,АЛП
impotentia generandi,IG
кроватка-грелка,КГ
эруптивный,Э
ионограмма,И
лаваж гастральный,ЛГ
Вианна,В
Хакстхаусена синдром,ХС
дифиодонтизм,Д
уретероколостомия,У
Крукенберга ампутация,КА
Monakow,M
Фибигера синдром,ФС
бикуспидальный,Б
Крайла гемостаз,КГ
Geniohyoideus,G
желчевыносящий проток,ЖП
гипохлорурия,Г
зубы-антагонисты,ЗА
взрыв,В
двойной зеленый,ДЗ
патологическая пораженность,ПП
ангиосаркома,А
мозаичность,М
болезни внутренние,БВ
линимент,Л
апикальный,А
Дюпре эмотивная конституция,ДЭК
темпоральный,Т
Macchiavello,M
нуклеомембрана,Н
риномикоз,Р
желтуха ювенильная перемежающаяся,ЖЮП
краниосклероз,К
уреиды,У
гломерул-,Г
Марри операция,МО
проба с бензойнокислым натрием,ПСБН
хтонофагия,Х
имидазол,И
Biedl,B
нейронофаг,Н
липома шеи диффузная,ЛШД
псевдодиабет,П
прекордиальная область,ПО
виропексис,В
Entericus,E
Фюрта проба,ФП
колика,К
Орбели адаптационно-трофическая теория,ОАТТ
Ody,O
Neri,N
эритроцианоз кожи симметричный,ЭКС
ротовая щель,РЩ
электрография интракардиальная,ЭИ
дерматит околоротовой,ДО
зонд-игла Богуша,ЗИБ
зрачок искусственный,ЗИ
Гроссмана симптом,ГС
недоедание,Н
иммунопатология,И
г grand mal,ГGM
эмпиема желчного пузыря,ЭЖП
система пропердиновая,СП
цераты,Ц
"признак, ограниченный полом",ПОП
центро-,Ц
карцинома светлоклеточная,КС
Spemann,S
микропроектор,М
тетрапарез,Т
фитостерины,Ф
адреноблокаторы,А
praecox gefuhl,PG
антиген сывороточного гепатита,АСГ
подчелюстная ямка,ПЯ
косоглазие,К
адгезивный процесс,АП
лейкогенез,Л
спленаденома,С
гапломикоз,Г
мишень,М
Форбса костная пластика,ФКП
палочка брюшнотифозная,ПБ
травматизм,Т
миогелез,М
Ciliares posteriores breves,CPB
Гольдциера операция,ГО
губа преддверного края,ГПК
диабет аллоксановый,ДА
лимфурия,Л
Гроллмена метод,ГМ
психогальваническая реакция,ПР
дерматофиброма,Д
теория критических периодов,ТКП
Томсона синдром,ТС
эндоаневризморафия(endoaneurysmorrhaphia;,Э
Metacarpea dorsalis,MD
паралич взора психический,ПВП
Рапопорта иммунобласт,РИ
«фонтанель»,«
верхнюю,В
Боннье синдром,БС
аллантиазис,А
биотермические методы,БМ
Мибелли порокератоз,МП
Хопфа веррукозный акрокератоз,ХВА
цензура внутрипсихическая,ЦВ
эпидермоцит шиповатый,ЭШ
Vag. synovialis mm. peroneorum (fibularium) communis,VSMP(C
Dipylidium caninum,DC
барограф,Б
Rouget,R
французский способ пластики,ФСП
Пинье индекс,ПИ
Жандрена признак,ЖП
кольпомикроскоп,К
таурин,Т
аутоэротизм,А
Vesicalis,V
гиперлипоидемия гепатомегалическая,ГГ
цервицит,Ц
Каккьоне синдром,КС
аутотрансплантация почки,АП
Бьерк,Б
Бона узелки,БУ
"Cutanea femoris posterior,",CFP
усталость,У
медицинская каркасная,МК
мост,М
гастропексия,Г
полосатое тело,ПТ
гуанидин,Г
пировиноградная кислота,ПК
АНФ,А
Klinefelter,K
Rectales inferiores,RI
гипероксемия,Г
гастралгия,Г
фаголизосома,Ф
гименорафия,Г
Штейнманна симптом,ШС
гнездо раненых,ГР
Vulpius,V
сердце легочное,СЛ
Roskarn,R
Гритти - Стокса операция,ГСО
слепое отверстие языка,СОЯ
гоно-,Г
цистэктомия,Ц
плазмотерапия,П
темперамент,Т
артериолонекроз,А
пахименинкс,П
уретерокаликостомия,У
гриб леечный,ГЛ
Dogliotti,D
фонокардиограмма,Ф
Фореля спайка,ФС
эластотонометр,Э
Theiler,T
Ибрагима болезнь,ИБ
узелки Ослера,УО
вв санитарный транспортер,ВСТ
тромбопластический фактор плазмы А,ТФПА
Пельгера,П
Opponens pollicis,OP
лекарственные взвеси,ЛВ
Фара гломерулосклероз,ФГ
синдром панастении,СП
птиализм,П
Гласса метод,ГМ
диабет несахарный,ДН
лимфаденоидное глоточное кольцо,ЛГК
болезни кожи гнойничковые,БКГ
плацента двудолевая,ПД
стрептококк(-и),СИ
врачебник,В
гипермеризм,Г
фронтоорбитальный,Ф
Сапежко способ,СС
Iliocostalis cervicis,IC
Верднига,В
дебит воды (газа),ДВ(
дакриоканаликулит,Д
"Fallopii,",F
"Teres acetabuli,",TA
кровь,К
Шоффар,Ш
Feil,F
интеркуррентный,И
нетрудоспособность,Н
трабекулэктомия,Т
паравезикальное пространство,ПП
базальный индекс,БИ
дизрафия,Д
вибростенд,В
Хейли-Хейли болезнь,ХХБ
корешок спинномозгового нерва,КСН
Pudenda interna,PI
вагосимпатическая блокада,ВБ
аденома граафовых пузырьков,АГП
leucopenia innocens,LI
эритема индуративная гипостатическая,ЭИГ
Ивемарка синдром,ИС
лактоза,Л
Дюкрей,Д
пелада,П
углубление диска,УД
Гебердена болезнь,ГБ
селезеночные ветви,СВ
см. прямодержатель спинозопластика,СПС
Jergason,J
диабет солевой почечный,ДСП
Recurrens,R
корень языка,КЯ
сиалогликолипиды,С
интерпозиция матки пузырно-влагалищная,ИМПВ
Menetrier,M
альвеолярно-капиллярный блок,АКБ
крезиловый синий блестящий,КСБ
фотоаутотофы,Ф
Waterston,W
газообмен,Г
легкое зеркальное,ЛЗ
"Cavi tympani,",CT
Weisenburg,W
пневмато-,П
медвежья лапа,МЛ
Seitz,S
почка тигровая,ПТ
Lepchne,L
Tarsea fibularis,TF
Isthmi faucium,IF
подсерозная основа,ПО
удерживатель сухожилий мышц-сгибателей,УСМС
Чаччо метод,ЧМ
Mori,M
лимфатическая реакция,ЛР
щитовидная вырезка нижняя,ЩВН
ингредиент,И
B. subcutanea malleoli tibiae,BSMT
Микулича сколиозометр,МС
Нестерова проба,НП
Obliquus abdominis internus,OAI
Романо операция,РО
эв-,Э
Аксенфельд,А
Thebesius,T
наполнитель,Н
млечный альвеолярный проточек,МАП
Аристовского,А
Йонеску анестезия,ЙА
хилоперикард,Х
холангиола,Х
плеврэктомия,П
олигодендроглиома,О
молоко гуманизированное,МГ
ангиит Зика,АЗ
Гессельбаха связка,ГС
электроника медицинская,ЭМ
Davidsohn,D
гипотензия артериальная эссенциальная,ГАЭ
бета-клетка искусственная,БКИ
эпизоотия,Э
гельминтофауна,Г
гипер-,Г
Астахова проба,АП
Мартина индекс,МИ
антихолестеринемические средства,АС
энтероцит бокаловидный,ЭБ
отпуск по беременности и родам,ОПБИР
Cuneocuboideum dorsale,CD
меланоз трупный,МТ
Купера лигатурная игла,КЛИ
Anterior (n. auricularis magni),A(AM
радиосфигмотахометр,Р
Coffey,C
Magnan,M
спинтарископ,С
Carter,C
Трико синдром,ТС
Принцметала стенокардия,ПС
диафаноскопия,Д
Школьникова симптом,ШС
стержень улитки,СУ
perspiratio sensibilis,PS
фолликул волоса,ФВ
Свифта синдром,СС
бульбит,Б
остистый отросток,ОО
сумка санитара,СС
Merzhacher,M
асимметрия мозговая,АМ
микроагглютинация,М
гомеостаз,Г
кальц-,К
Арнольда безымянный каналец,АБК
почечная,П
Филатова,Ф
диабет адреналиновый,ДА
ген-маркер,ГМ
эпителиома бархатистая,ЭБ
пупочная вырезка,ПВ
Shirodkar,S
Линтона операция,ЛО
Гарсена синдром,ГС
баугиноспазм,Б
WPW-синдром,WС
мукофанероз внутрифолликулярный сально-железистый Браун-Фалько,МВСЖБФ
ристоцеин,Р
миоэндокардит,М
теплосветолечение,Т
пищевые привычки,ПП
эвакуация воздушная,ЭВ
"Iridis,",I
Вилларе синдром,ВС
дисмегалопсия,Д
хрящ эпифизарный,ХЭ
Хюбинетте,Х
офтальмия,О
чума,Ч
косметологическая лечебница,КЛ
симптом ягодичный,СЯ
стигмы дегенеративные психические,СДП
Fundiforme (dorsi pedis),F(P
аксонный холмик,АХ
нагрубание молочных желез,НМЖ
антабусно-алкогольная реакция,ААР
гередоатаксия мозжечковая,ГМ
панариций,П
хондродисплазия,Х
ямка желчного пузыря,ЯЖП
паралич «я»,П«
вдох,В
конъюнктивальное кольцо,КК
Смолянова молоток,СМ
Михайлова проба,МП
альбугинит,А
Парро атрофия,ПА
Харди-Вейнберга закон,ХВЗ
липоидемия,Л
нейротоксикоз,Н
задний канатик,ЗК
парамилоид,П
D'Espine,D
эмалевые капли,ЭК
оксигемометр,О
эвакуационный пункт,ЭП
Thyroepiglotticus,T
крикостома,К
офтальмометрия,О
фасцинация,Ф
ovotestis,O
жизненная емкость легких,ЖЕЛ
торсия,Т
Nervi hypoglossi,NH
Чевидалли реакция,ЧР
Шевкуненко разрез,ШР
военно-врачебная комиссия (ВВК),ВВК(
феномен отдачи,ФО
Ropke,R
Ландольта тенотомия,ЛТ
переливание крови,ПК
эндофлебит,Э
Tellais,T
Энгельманна болезнь (G.,ЭБ(
Янсена операция,ЯО
ирригатор Жане,ИЖ
аура,А
флебокавография,Ф
онко-,О
ядро студенистое,ЯС
папиллиформный,П
Пика галлюцинации,ПГ
ленти глобус,ЛГ
Stohr,S
запасы минеральных вод эксплуатационные,ЗМВЭ
гонартроз,Г
синдром коммоционно-контузионный,СКК
Tarsi profunda,TP
Verneuil,V
Образцова аускультация сердца,ОАС
Di George,DG
аденома тестикулярная тубулярная,АТТ
протозоология,П
Моракса,М
Чокалтеу реактив,ЧР
протеиды,П
Brachiocephalicus truncus,BT
лейомиоцит,Л
область промежности,ОП
гидрооксикинуренинурия,Г
гипертензин,Г
плейохромия,П
B. infrapatellaris subcutanea,BIS
"931. Lamina superficialis fasciae colli propriae,",9LSFCP
атаксия рецессивная X-хромосомная,АРXХ
Алибера болезнь,АБ
гипертиреоидизация,Г
Рота-Бернгардта болезнь,РББ
синус аорты,СА
Лоренц,Л
"longitudinalis dextra (JNA),",LD(
зубные ветви нижние,ЗВН
бляшка старческая,БС
глиогранулема,Г
синдром медиального кожного нерва плеча,СМКНП
фотолюминесценция,Ф
Сорези симптом,СС
афронезия,А
Mammaria interna,MI
заболевание полиомиелитоподобное,ЗП
узелок тифозный,УТ
трипаниды,Т
стоматологическая щетка,СЩ
брегма,Б
дизакузия,Д
Оршанского симптом,ОС
Белльвю,Б
гамаксофобия,Г
латентность,Л
Шпитца-Холтера операция,ШХО
Сапожкова операция,СО
Корнет,К
аллели ложные,АЛ
Климова остеосинтез,КО
Бреннера операция,БО
лентиго срединно-лицевое Турена,ЛСЛТ
Бриттена симптом,БС
клиновидно-небная вырезка,КНВ
пневмония эозинофильная,ПЭ
медико-санитарный батальон,МСБ
тревога,Т
сандерсоновская подушка,СП
гастробиопсия,Г
Гамбургера туберкулоид,ГТ
Дарье болезнь,ДБ
сульфосалициловая кислота,СК
g-аминомасляная,GА
дистония торсионная симптоматическая,ДТС
иридошизис,И
симптом лобково-экстензорный,СЛЭ
бленно-,Б
губы отверстия матки,ГОМ
параметрит,П
птеригиум-синдром,ПС
Petrosus minor,PM
"Nasalis anterior,",NA
Gustrica dextra,GD
аденома коры надпочечников,АКН
колоно-,К
надбарабанное углубление,НУ
оспа мышей,ОМ
шигелла ньюкасл,ШН
амплитуда движений,АД
гликопротеидозы,Г
Patella,P
акатафазия,А
везикул-,В
Roe,R
Либмана проба,ЛП
"322. Intercarpea intraarticularia,",3II
ветвь тройничного нерва третья,ВТНТ
энтероцит с ацидофильными гранулами,ЭСАГ
моторика голодная,МГ
бластомицеты,Б
хромат-,Х
Aronson,A
Кушинга болезнь,КБ
некрофилия,Н
Дежерин-Клюмпке паралич,ДКП
динамокардиограмма,Д
Лери,Л
планктон,П
лимфопатия венерическая,ЛВ
пахиплеврит,П
Cardiacus caudalis,CC
сцинтископия,С
бигуаниды,Б
Nodi lymphatici mediastinales posteriores,NLMP
гангрена молниеносная,ГМ
Квинке болезнь,КБ
Купера фасция,КФ
менделевская популяция,МП
Венсана спирохета,ВС
ихтио-,И
меридианы глаза,МГ
Whitman,W
Nodi lymphatici parotidei profundi,NLPP
Бира - Микулича операция,БМО
онколог-отоларинголог,ОО
эго,Э
стриопаллидум,С
хорионэпителиома,Х
"Cleidohyoideus,",C
кинетография,К
Haemorrhoidales medii,HM
минутный объем дыхания,МОД
лабиринтэктомия,Л
остит,О
грязевая кухня,ГК
Ашнера рефлекс,АР
Трюка операция,ТО
транссудация,Т
аллохейрия,А
Гуароа лихорадка,ГЛ
Thorn,T
эмаскуляция,Э
гранулоцитарный резерв,ГР
аддуктор,А
абузус,А
Cardiacus cervicalis inferior,CCI
Тейлора операция,ТО
Страндберг,С
Воячека носовая пила,ВНП
пневмомаммография,П
металлоостеосинтез,М
Джанелидзе артродез,ДА
правило специфической производительности тканей,ПСПТ
Spatz,S
бампер-перелом,БП
Шварца сухожильный шов,ШСШ
крипто-,К
Монро приливная система,МПС
спектрофотометрия,С
Rumpel,R
Cremaster,C
пластинчатое тельце,ПТ
спортивный отбор,СО
ритм условно-физиологический (УФР),РУФ(
Abderhalden,A
Ашермана симптомокомплекс,АС
розеола брюшнотифозная,РБ
Scapularis propria,SP
вибротестер,В
мегакариоцит,М
Gibbon,G
эндоаллергия,Э
кератоконус,К
Ридли синдром,РС
Rapport,R
mania furibunda,MF
энцефалит дальневосточный,ЭД
Кенига,К
нахшпиль,Н
невропатия сосудисто-трофическая,НСТ
гастроспазм,Г
Корвизара лицо,КЛ
Меркеля клетка,МК
пластическое обеспечение функций,ПОФ
лингватулез,Л
гипоспадия,Г
хронофотокамера,Х
рентгеновский электронно-оптический усилитель,РЭОУ
кататермометр,К
коэффициент брачной плодовитости,КБП
Гая проба,ГП
Trueta,T
гадюковые,Г
интервал R,ИR
аксиальный,А
Anton,A
противоанемические средства,ПС
пузырчатка тропическая контагиозная,ПТК
муха (-и),М(И
опыливание,О
Олдрича-Стайнберга-Кемпбелла синдром,ОСКС
глюкозамин,Г
фаголизат,Ф
шуб,Ш
Cuneiforme mediale os,CMO
закладка,З
инкубатор медицинский,ИМ
изотоцин,И
водород,В
гепатикохолецистоэнтеростомия,Г
преобразователь аналог-код,ПАК
Бюргера симптом,БС
мозговая оболочка,МО
Нейссера метод окраски,НМО
эпидидим-,Э
Holth,H
болезни накопления,БН
метасимуляция,М
Intercostales posteriores,IP
Sphincter ampullae,SA
Улльриха синдром,УС
амниотическая ножка,АН
абсорбция,А
электротонограф,Э
изопреципитины,И
рецептор иммуноглобулиновый,РИ
порфирия латентная,ПЛ
Мажанди,М
Цинссер,Ц
Beclard,B
пахитенная стадия,ПС
Кашина,К
Pyramidalis auriculae Jungi,PAJ
«электросон»,«
киноплазма,К
дистония нейроциркуляторная,ДН
аберрация полухроматидная,АП
Pterygoideus lateralis,PL
Parietales rami,PR
аутоинтоксикация,А
Adductor brevis,AB
Гармсена торакопластика,ГТ
Шлоффера операция,ШО
Бенедикта проба,БП
ривинусова железа,РЖ
Фридлендера болезнь,ФБ
глия Альцгеймера,ГА
Trachealis,T
кабинет,К
скотометр,С
вакцинация 2,В2
неврология,Н
Краузе железы,КЖ
Склифосовского операция,СО
эндотелиома саркоматозная,ЭС
«козья ножка»,«Н
артроз,А
синдром обонятельного нерва,СОН
проток поджелудочной железы добавочный,ППЖД
лейкоэнцефалит подострый склерозирующий,ЛПС
эритема центробежная Биетта,ЭЦБ
индикатор пульса,ИП
зубная мякоть,ЗМ
Вальтера синдром,ВС
кардия,К
плантография,П
слезный сосочек,СС
почечные чашки,ПЧ
межбугорковая борозда,МБ
аборт,А
гистероцеле,Г
эндорадиозондирование,Э
Orbicularis urethrae membranaceae,OUM
астазия-абазия,АА
меланхолический тип,МТ
уридин,У
фактор 4 тромбоцитов,Ф4Т
Снеллена операция,СО
прогрессивный тип населения,ПТН
исключительное состояние,ИС
лимфома Беркитта,ЛБ
онкограмма,О
Pedroso,P
госпитальное судно,ГС
чесотка водяная,ЧВ
Абрикосова метод,АМ
"Vidii,",V
лопаточно-трахеальный треугольник,ЛТТ
Энгла дуга,ЭД
микроспориды,М
мукоцеле,М
диссоциация артериального пульса,ДАП
Фуа-Тевенара феномен голени,ФТФГ
ангиотрипсия,А
гемостатические клипсы,ГК
Оберста анестезия,ОА
«холерные очки»,«О
оспа риккетсиозная русская,ОРР
трахеостомия,Т
реакция аверсии,РА
лимфангиомиома,Л
анетодермия,А
Швахмана тест,ШТ
ветвь к твердой оболочке головного мозга,ВКТОГМ
анимальный полюс,АП
гемалаун кислый,ГК
язва разъедающая Морена,ЯРМ
барабанный каналец,БК
гликозаминогликаны,Г
атрофия Парро,АП
забугорье,З
сферопласт,С
Burger,B
расширитель глотки,РГ
эпидемиологическая география,ЭГ
Кюстнера прямая реакция,КПР
амелобластома,А
антифолиевые вещества,АВ
волюмоспирограф,В
решетчатые пятна,РП
афферентное звено,АЗ
Порталя пространство,ПП
Toomey,T
перисальпингит,П
пластичность,П
хрящ надгортанный,ХН
статистический метод,СМ
Borrelia recurrentis,BR
Фордайса ограниченная ангиокератома мошонки,ФОАМ
Lingularis superior ramus,LSR
форпост-синдром,ФС
сальпинголизис,С
Биньями синдром,БС
остит множественный,ОМ
паралич детский эпидемический,ПДЭ
Льеу,Л
психомеханика,П
адиадохокинез,А
поллакурия,П
эмбриотоксон,Э
триба,Т
Molin de Teyssieu,MDT
Шмидена,Ш
мозг продолговатый,МП
Павлова симптом,ПС
Pagenstecher,P
синдром гипергидропексический,СГ
цитоморфология,Ц
Беднара афты,БА
дееспособность,Д
стронций радиоактивный,СР
пубитомия,П
гипофибриногенемия,Г
лишай тропический белый,ЛТБ
"Scaphoideocuneiforme internum,",SI
геогельминтозы,Г
полулуния,П
закон проекции болевого ощущения,ЗПБО
липоцеле,Л
санитарные нормы,СН
Златкиса,З
микроциклоскопия,М
pseudologia phantastica,PP
гипохромазия,Г
Федорова разрез,ФР
гем-,Г
Кохера зонд,КЗ
доза инфицирующая,ДИ
кабинет подростковый,КП
Bessel-Hagen,BH
глюкоамилаза,Г
Ханта зона,ХЗ
Миллингена,М
абдукционный феномен,АФ
торфолечебница,Т
веноэкстрактор,В
Communicantes cum n. faciali,CCNF
Quierolo,Q
зубной валик,ЗВ
бидактилия,Б
"Sphenospinosa,",S
электрокимограмма,Э
гониометрия,Г
диабет латентный,ДЛ
Коккеля способ,КС
метод переваривания,МП
септикопиемия,С
препарат-отпечаток,ПО
лихорадка возвратная,ЛВ
Крукенберга опухоль,КО
электросфигмограмма,Э
глицин,Г
перфузия,П
аденома мезонефроидная,АМ
азотурия,А
Валя симптом,ВС
дистрофия роговицы узелковая Зальцманна,ДРУЗ
сатуратор,С
клиновидно-теменной синус,КТС
узелок пылевой,УП
Metacarpea interossea,MI
Montandon,M
перфорация 2,П2
"Azygos conarii,",AC
Schule,S
преавтоматическая пауза,ПП
Schamberg,S
уретерогидронефроз,У
