,term,abbr_by_first_letters
495,РїРѕСЂРѕРі РІС‹РІРµРґРµРЅРёСЏ,РџР’
496,РљР»РµР№СЃС‚Р° С„Р°Р·РѕС„СЂРµРЅРёРё,РљР¤
498,СЌРЅРґР°СЂС‚РµСЂРёРёС‚ РѕР±Р»РёС‚РµСЂРёСЂСѓСЋС‰РёР№ СЃРёС„РёР»РёС‚РёС‡РµСЃРєРёР№,Р­РћРЎ
501,Р±Р°С‚РјРѕС‚СЂРѕРїРЅРѕРµ РґРµР№СЃС‚РІРёРµ,Р‘Р”
502,"Phrenicogastricum dextrum,",PD
506,Arias-Stella,AS
507,РґРёСЃРїР»Р°Р·РёСЏ СЌРєС‚РѕРґРµСЂРјР°Р»СЊРЅР°СЏ РІСЂРѕР¶РґРµРЅРЅР°СЏ Р°РЅРіРёРґСЂРѕС‚РёС‡РµСЃРєР°СЏ,Р”Р­Р’Рђ
508,РґСЂРµРЅР°Р¶ Р°СЃРїРёСЂР°С†РёРѕРЅРЅС‹Р№,Р”Рђ
513,С„РµС‚РѕРїР»Р°С†РµРЅС‚Р°СЂРЅР°СЏ РЅРµРґРѕСЃС‚Р°С‚РѕС‡РЅРѕСЃС‚СЊ,Р¤Рќ
516,Р“РѕР»СЊРґР¶Рё РјРµС‚РѕРґ,Р“Рњ
517,Metacarpea dorsalia,MD
518,РІРѕСЃС…РѕРґСЏС‰Р°СЏ РІРµС‚РІСЊ РїРµСЂРµРґРЅСЏСЏ,Р’Р’Рџ
519,Р°РЅР°С‚РѕРјРёСЏ РїР°С‚РѕР»РѕРіРёС‡РµСЃРєР°СЏ,РђРџ
520,Р’РёР±РµСЂРґРёРЅРіР° РѕРїРµСЂР°С†РёСЏ,Р’Рћ
521,Profundae penis,PP
522,Transversus colli,TC
523,РїСЂРµС†РµСЂРІРёРєР°Р»СЊРЅРѕРµ РїСЂРѕСЃС‚СЂР°РЅСЃС‚РІРѕ,РџРџ
524,Р»РёРїРѕРјР° РїРµСЂРёСЂРµРЅР°Р»СЊРЅР°СЏ,Р›Рџ
526,Р–РѕР»Р»Рё РјРёР°СЃС‚РµРЅРёС‡РµСЃРєР°СЏ СЂРµР°РєС†РёСЏ,Р–РњР 
528,Р“РѕС‡РµСЂРёРґР·Рµ СЃРёРјРїС‚РѕРј,Р“РЎ
531,Р±СЂРµРґРѕРІР°СЏ РєСЂРёСЃС‚Р°Р»Р»РёР·Р°С†РёСЏ,Р‘Рљ
533,Р‘РµСЂРіРµСЂР° РїСЂРёР·РЅР°Рє,Р‘Рџ
535,Cardiacus cranialis,CC
540,С‡РµСЂРµРїРЅР°СЏ СЏРјРєР° Р·Р°РґРЅСЏСЏ,Р§РЇР—
542,Orbitales rami,OR
543,СЃРёРЅРґСЂРѕРј Р°С„С„РµРєС‚РёРІРЅРѕ-Р±СЂРµРґРѕРІРѕР№,РЎРђР‘
544,Р­Р»СЊС€РЅРёРіР° С†РёРєР»РѕС€РїР°С‚РµР»СЊ,Р­Р¦
545,Naegleria aerobia,NA
546,РёР»РёРѕРїСЃРѕР°СЃ-Р°Р±СЃС†РµСЃСЃ,РРђ
547,РїР°РЅРєСЂРµРѕС†РёС‚ СЌРєР·РѕРєСЂРёРЅРЅС‹Р№,РџР­
549,РџРµС‚СЂСѓС€РєРё Р»Р°РєРјСѓСЃРѕРІР°СЏ СЃС‹РІРѕСЂРѕС‚РєР°,РџР›РЎ
551,С„РµР»СЊРґС€РµСЂСЃРєР°СЏ СЃРїСЂР°РІРєР° Рѕ СЃРјРµСЂС‚Рё,Р¤РЎРћРЎ
552,СЂРµРЅРѕРіСЂР°С„РёСЏ СЂР°РґРёРѕРёР·РѕС‚РѕРїРЅР°СЏ,Р Р 
553,Р°РЅС‚СЂРѕРїРѕР»РѕРіРёС‡РµСЃРєР°СЏ С€РєРѕР»Р°,РђРЁ
556,Multangulum majus os,MMO
559,Р­СЂР»РёС…Р° С‚РµРѕСЂРёСЏ РёРјРјСѓРЅРёС‚РµС‚Р°,Р­РўР
560,РіРёРїРµСЂРєРёРЅРµР·РёСЏ СЃРµСЂРґС†Р°,Р“РЎ
563,Р“Р°Р»СЊС‚РѕРЅР° Р·Р°РєРѕРЅ,Р“Р—
564,РґРµС„СѓРЅРґР°С†РёСЏ РјР°С‚РєРё,Р”Рњ
566,РєРѕР¶РЅРѕ-РіР°Р»СЊРІР°РЅРёС‡РµСЃРєР°СЏ СЂРµР°РєС†РёСЏ,РљР“Р 
571,РњР°СЂСЂР°РєР° С‚РµРѕСЂРёСЏ СЂРµС€РµС‚РєРё,РњРўР 
573,Aedes vexans,AV
574,РёРЅРґРёРєР°С‚РѕСЂРЅР°СЏ Р±СѓРјР°РіР°,РР‘
575,Р¤РёР»РёРјРѕРЅРѕРІР° СЃРёРЅРґСЂРѕРј,Р¤РЎ
578,Р‘РѕСЂРґРµ-Р–Р°РЅРіСѓ СЂРµР°РєС†РёСЏ,Р‘Р–Р 
580,РґРµСЂР°С‚РёР·Р°С†РёРѕРЅРЅС‹Рµ СЃСЂРµРґСЃС‚РІР°,Р”РЎ
581,Р¦РІРµС‚РєРѕРІР° РїРёРЅС†РµС‚,Р¦Рџ
584,СЃРёРјРїС‚РѕРј РїРѕРґРєР»СЋС‡РёС‡РЅС‹Р№,РЎРџ
585,Р‘РµС†Р° РєР»РµС‚РєР°,Р‘Рљ
586,РёСЃС‚РјРёРєРѕ-С†РµСЂРІРёРєР°Р»СЊРЅР°СЏ РЅРµРґРѕСЃС‚Р°С‚РѕС‡РЅРѕСЃС‚СЊ,РР¦Рќ
587,Р“РѕРІР°СЂРґР° С‚РµСЃС‚,Р“Рў
588,РџРµСЂС‚РµСЃР° РїСЂРѕР±Р°,РџРџ
589,Р”СЂР°РіСЃС‚РµРґС‚Р° - РЈРёР»СЃРѕРЅР° СЃРїРѕСЃРѕР± РєРѕР¶РЅРѕР№ РїР»Р°СЃС‚РёРєРё,Р”РЈРЎРљРџ
592,РљРѕСЂС„С„Р° РІРѕР»РѕРєРЅР°,РљР’
596,РєРѕРЅС„РёРіСѓСЂР°С†РёСЏ Р°РЅС‚РёС‚РµР»Р°,РљРђ
599,СѓРґРµСЂР¶РёРІР°С‚РµР»СЊ СЃСѓС…РѕР¶РёР»РёР№ СЂР°Р·РіРёР±Р°С‚РµР»РµР№ РІРµСЂС…РЅРёР№,РЈРЎР Р’
600,Metatarsea plantaris,MP
601,РіРЅРѕР№РЅР°СЏ РѕР±РѕР»РѕС‡РєР°,Р“Рћ
604,РђСЂРґР¶РёР»Р° Р РѕР±РµСЂС‚СЃРѕРЅР° СЃРёРЅРґСЂРѕРј,РђР РЎ
607,Р°С‚СЂРѕС„РёСЏ С‚СѓСЂРЅРµСЂРѕРІСЃРєР°СЏ,РђРў
609,РіРµС‚РµСЂРѕС…СЂРѕРЅРЅРѕСЃС‚СЊ СЃС‚Р°СЂРµРЅРёСЏ,Р“РЎ
614,Р‘СЂР°СѓРґРµ РїРѕР»РѕРІР°СЏ СЃС‚РµСЂРёР»РёР·Р°С†РёСЏ,Р‘РџРЎ
615,С‡РµР»РѕРІРµРє РёР· Р‘СЂРѕРєРµРЅ-РҐРёР»Р»Р°,Р§РР‘РҐ
616,РҐР°СЂС†РµСЂР° СЃРёРЅРґСЂРѕРј,РҐРЎ
619,РїРѕС‡РєР° СЌРјР±СЂРёРѕРЅР°Р»СЊРЅР°СЏ,РџР­
625,РђСЃС‚СЂСѓРїР° РјРёРєСЂРѕРјРµС‚РѕРґ,РђРњ
629,РїРѕР»РѕСЃРєР° Z,РџZ
630,Р¶РµР»С‚СѓС…Р° СЌРїРёС‚РµР»РёР°Р»СЊРЅРѕ-РєР»РµС‚РѕС‡РЅР°СЏ,Р–Р­Рљ
632,РїСЂРѕС‚РёРІРѕСЌРїРёРґРµРјРёС‡РµСЃРєРёРµ РјРµСЂРѕРїСЂРёСЏС‚РёСЏ,РџРњ
633,Р РѕР·РµРЅС€С‚РµР№РЅР° СЃРїРѕСЃРѕР±,Р РЎ
635,РіР»Р°Р· Р·Р°СЏС‡РёР№,Р“Р—
637,РїРѕРєСЂРѕРІРЅР°СЏ РјРµРјР±СЂР°РЅР°,РџРњ
638,СЌСЂРёС‚РµРјР° Р±СЂСѓС†РµР»Р»РµР·РЅР°СЏ,Р­Р‘
639,РјРёР°СЃС‚РµРЅРёС‡РµСЃРєР°СЏ РїСЂРѕР±Р°,РњРџ
641,Р°РїС‚РµРєР°СЂСЃРєРёР№ РѕРіРѕСЂРѕРґ,РђРћ
643,Р РµР№Р»СЏ РѕСЃС‚СЂРѕРІРѕРє,Р Рћ
644,Anonyma iliaca,AI
645,СЃРёРЅРґСЂРѕРј РґРёСЃР»РѕРєР°С†РёРѕРЅРЅС‹Р№,РЎР”
646,Р“РµС‚С‡РёРЅСЃРѕРЅР° РјР°СЃРєР°,Р“Рњ
647,РїСЂРµС†РёРїРёС‚Р°С‚ 2 РІ,Рџ2Р’
651,Р›РµР»СЊС‡РёС†РєРѕРіРѕ СЌРєСЃРїРёСЂР°С‚РѕСЂ,Р›Р­
652,С†РёСЂСЂРѕР· РїРµС‡РµРЅРё СЃРµСЂРґРµС‡РЅС‹Р№,Р¦РџРЎ
656,Carpeus palmaris ramus,CPR
658,"Mesenterica magna,",MM
659,Р¤СЂР°РЅС‡РµСЃРєРµС‚С‚Рё-Р¦РІР°Р»РµРЅР° СЃРёРЅРґСЂРѕРј,Р¤Р¦РЎ
662,РїРѕРґРґРёР°С„СЂР°РіРјР°Р»СЊРЅС‹Рµ СѓРіР»СѓР±Р»РµРЅРёСЏ,РџРЈ
664,СЃРѕСЃСѓРґРѕСЂР°СЃС€РёСЂСЏСЋС‰РёРµ СЃСЂРµРґСЃС‚РІР°,РЎРЎ
665,"Quadrigeminus brachii,",QB
666,Р‘РµР»Р»СЏСЂРјРёРЅРѕРІР° РѕРїРµСЂР°С†РёСЏ,Р‘Рћ
668,Р°РјРїР»РёС‚СѓРґР° Р°РєРєРѕРјРѕРґР°С†РёРё,РђРђ
669,РІРµС‚РІРё Рє РјРѕСЃС‚Сѓ РјРѕР·РіР°,Р’РљРњРњ
670,РІРµС‚РІРё Рє РїРµСЂРµС€РµР№РєСѓ Р·РµРІР°,Р’РљРџР—
674,РІСЃРїРѕРјРѕРіР°С‚РµР»СЊРЅР°СЏ С€РєРѕР»Р°,Р’РЁ
678,РўРѕРјРїСЃРѕРЅР° РїСЂРёР·РЅР°Рє,РўРџ
679,РІРµРЅРµС‡РЅС‹Р№ РѕС‚СЂРѕСЃС‚РѕРє,Р’Рћ
681,Р±Р°РєС‚РµСЂРёР°Р»СЊРЅР°СЏ СЃРІРµС‡Р°,Р‘РЎ
682,РєРѕР¶Р° РєСЂРµСЃС‚СЊСЏРЅРёРЅР°,РљРљ
683,Р±Р°СЂС‚РѕР»РёРЅРѕРІ РїСЂРѕС‚РѕРє,Р‘Рџ
685,РїРѕР»РёРґРёСЃС‚СЂРѕС„РёСЏ Р“СѓСЂР»РµСЂ,РџР“
686,Р»РёР·РѕРіРµРЅРЅРѕРµ СЃРѕСЃС‚РѕСЏРЅРёРµ,Р›РЎ
688,РїСЏС‚РѕС‡РЅРѕ-РєРѕР»РµРЅРЅР°СЏ РїСЂРѕР±Р°,РџРљРџ
689,РѕС‡РёСЃС‚РєР° СЏРґРѕРІ,РћРЇ
690,РџРёРєР° СЃРёРЅРґСЂРѕРј 2,РџРЎ2
692,РґСЂСѓР·Р° Р»СѓС‡РёСЃС‚РѕРіРѕ РіСЂРёР±РєР°,Р”Р›Р“
693,Nodi lymphatici retropharyngei,NLR
696,СЂРµРЅРѕРїСЂРёРІРЅС‹Р№ С„Р°РєС‚РѕСЂ,Р Р¤
698,СѓС€РєРѕ СЃРµСЂРґС†Р°,РЈРЎ
699,Nasales posteriores inferiores (laterales),NPI(
700,Collateralis ulnaris inferior,CUI
701,Р‘СЂР°СѓРЅР° СЌРЅС‚РµСЂРѕСЌРЅС‚РµСЂРѕР°РЅР°СЃС‚РѕРјРѕР·,Р‘Р­
702,С‚СЂСѓРґРѕСѓСЃС‚СЂРѕР№СЃС‚РІРѕ РёРЅРІР°Р»РёРґРѕРІ,РўР
703,РѕС‚РІРµСЂСЃС‚РёРµ РїСЂРёРІСЂР°С‚РЅРёРєР°,РћРџ
706,РіРµРјР°РЅРіРёРѕРјР° С†РёСЂР·РѕРёРґРЅР°СЏ,Р“Р¦
707,Р»РѕР¶РєР°-РєР°С‚РµС‚РµСЂ РђРіР°С„РѕРЅРѕРІР°,Р›РљРђ
712,Р–Р°РЅРґСЂРµРЅР° СЃРёРЅРґСЂРѕРј,Р–РЎ
714,Pubis os,PO
718,Р»РµРіРѕС‡РЅС‹Р№ СЃС‚РІРѕР»,Р›РЎ
719,wohlfahrtia magnifica,WM
720,СЃРѕСЃРѕС‡РєРё РґРµСЂРјС‹,РЎР”
721,Р»РёРјС„РѕРјР° Р·Р»РѕРєР°С‡РµСЃС‚РІРµРЅРЅР°СЏ,Р›Р—
723,Р¶РµР»С‚СѓС…Р° СЃРёС„РёР»РѕС‚РµСЂР°РїРµРІС‚РёС‡РµСЃРєР°СЏ,Р–РЎ
724,РўСѓСЂРµРЅР° РґСѓРіРѕРѕР±СЂР°Р·РЅР°СЏ С‚РµР»РµР°РЅРіРёСЌРєС‚Р°С‚РёС‡РµСЃРєР°СЏ РїСѓСЂРїСѓСЂР°,РўР”РўРџ
725,Р»РёС€Р°Р№ РїР»РѕСЃРєРёР№ РЅРѕРІРѕРіРІРёРЅРµР№СЃРєРёР№,Р›РџРќ
726,Р»РµС‚СѓС‡РёР№ РѕС‚СЂСЏРґ,Р›Рћ
728,Р±РІР°РјР±Р° Р»РёС…РѕСЂР°РґРєР°,Р‘Р›
730,РёР·РѕСЌР»РµРєС‚СЂРёС‡РµСЃРєР°СЏ С‚РѕС‡РєР°,РРў
732,РїСЂРѕС‚РѕРє РїРѕРґР¶РµР»СѓРґРѕС‡РЅРѕР№ Р¶РµР»РµР·С‹,РџРџР–
735,СЃРёРЅРґСЂРѕРј РїР°СЂР°РЅРѕРёРґРЅС‹Р№,РЎРџ
737,РїР°РїРёР»Р»РёС‚ СЃС‚РµРЅРѕР·РёСЂСѓСЋС‰РёР№ РїРѕС‡РµРє,РџРЎРџ
739,СЃРєР»РµСЂРѕРґРµСЂРјРёСЏ РѕС‡Р°РіРѕРІР°СЏ,РЎРћ
740,Р°РЅС‚СЂРѕРїРѕРјРѕСЂС„РЅС‹Р№ РїРѕРґС…РѕРґ,РђРџ
745,Р§РёС‚РµР»Р»Рё РјР°СЃС‚РѕРёРґРёС‚,Р§Рњ
746,Mediales (rr. dorsalium nn. sacralium et n. coccygei),M(DNSENC
747,Р°РјР±СѓР»Р°С‚РѕСЂРёСЏ РїРµСЂРµРґРІРёР¶РЅР°СЏ,РђРџ
748,СЃР°СЂРєРѕРёРґ СЃРёРјРїС‚РѕРјР°С‚РёС‡РµСЃРєРёР№,РЎРЎ
749,Nodi lymphatici ileocolici,NLI
752,РїРµСЃС‚СЂС‹Р№ СЂСЏРґ,РџР 
753,Р°РєР°СЂРёР°Р· Р»РµРіРѕС‡РЅС‹Р№,РђР›
755,С‚РѕРєРё РЈР’Р§,РўРЈ
756,Sternocostalia radiata,SR
758,Р·СЂР°С‡РєРѕРІР°СЏ СЂРµР°РєС†РёСЏ,Р—Р 
760,СЃРёРЅРґСЂРѕРј РґРµРЅС‚РѕР±СЂРѕРЅС…РёР°Р»СЊРЅС‹Р№,РЎР”
761,Lacrimale os,LO
762,СЌР»РµРєС‚СЂРѕР°СЌСЂРѕР·РѕР»СЊРЅС‹Р№ РіРµРЅРµСЂР°С‚РѕСЂ,Р­Р“
764,Р’РµРіРЅРµСЂР° Р±РѕР»РµР·РЅСЊ,Р’Р‘
766,РјРѕС‡РµС‚РѕС‡РЅРёРєРѕРІС‹Рµ РІРµС‚РІРё,РњР’
770,РїРѕРґРІРёСЃРѕС‡РЅР°СЏ РѕР±Р»Р°СЃС‚СЊ,РџРћ
771,Р±Р°С†РёР»Р»Р° (-С‹),Р‘(Р«
772,Р›РµСЂРё РїР»РµРѕРЅРѕСЃС‚РµРѕР·,Р›Рџ
773,Р¤РёС€РµСЂР° РјРµС‚РѕРґ 1,Р¤Рњ1
774,С„РёР±СЂРѕРјР°С‚РѕР· РїР°РїСѓР»РµР·РЅС‹Р№ РіРµРЅРµСЂР°Р»РёР·РѕРІР°РЅРЅС‹Р№,Р¤РџР“
775,РґРµСЂРјР° РЅРѕРіС‚РµРІР°СЏ,Р”Рќ
776,РЁРµР№РµСЂРјР°РЅРЅР°-РњР°Сѓ Р±РѕР»РµР·РЅСЊ,РЁРњР‘
777,"Nasalis lateralis externa,",NLE
778,СЂРѕРґРѕРІС‹Рµ СЃС…РІР°С‚РєРё,Р РЎ
779,С…РѕР»РµРіСЂР°С„РёСЏ СЂР°РґРёРѕРёР·РѕС‚РѕРїРЅР°СЏ,РҐР 
780,РіРѕСЂР± СЃС‚Р°СЂС‡РµСЃРєРёР№,Р“РЎ
784,РјРѕСЂС„РѕС„РёР·РёРѕР»РѕРіРёС‡РµСЃРєРёР№ РїСЂРѕРіСЂРµСЃСЃ,РњРџ
785,СЃРёРЅРґСЂРѕРј РїСЏС‚РѕРіРѕ РїРѕСЏСЃРЅРёС‡РЅРѕРіРѕ РєРѕСЂРµС€РєР°,РЎРџРџРљ
786,РіРёРїРµСЂРєРµСЂР°С‚РѕР· РїСЂРѕРЅРёРєР°СЋС‰РёР№,Р“Рџ
790,СЌС„РёСЂРѕРіР»СЋРєСѓСЂРѕРЅРѕРІС‹Рµ РєРёСЃР»РѕС‚С‹,Р­Рљ
791,Р°Р»Р»РѕРіРµРЅРЅР°СЏ РёРЅРіРёР±РёС†РёСЏ,РђР
792,СЌРјР°Р»СЊ Р·СѓР±РЅР°СЏ,Р­Р—
793,Pulex irritans,PI
795,РєСЂРµР°С‚РёРЅС„РѕСЃС„РѕСЂРЅР°СЏ РєРёСЃР»РѕС‚Р°,РљРљ
805,СЃРёРЅРґСЂРѕРј РїР°Р»Р»РёРґР°СЂРЅС‹Р№,РЎРџ
806,СЃРёРЅРґСЂРѕРј СЏСЂРµРјРЅРѕРіРѕ РѕС‚РІРµСЂСЃС‚РёСЏ,РЎРЇРћ
807,РѕРєСЃРёРіРµРЅР°С†РёСЏ СЌРЅС‚РµСЂР°Р»СЊРЅР°СЏ,РћР­
808,Trabeculae carneae,TC
809,РїСЏС‚РЅРѕ СЌР»Р»РёРїС‚РёС‡РµСЃРєРѕРіРѕ РјРµС€РѕС‡РєР°,РџР­Рњ
810,СЌСЃРїР°РЅРґРµСЂ С‡РµР»СЋСЃС‚РЅРѕР№,Р­Р§
811,РџРµРЅС„РёР»РґР° РјРµС‚РѕРґ,РџРњ
813,С€РѕРІ 2,РЁ2
814,С‚СЂСѓР±РєР° РїС‹Р»РµРІР°СЏ,РўРџ
816,Р»РёС…РѕСЂР°РґРєР° Р¶РµР»РµР·РёСЃС‚Р°СЏ РёРґРёРѕРїР°С‚РёС‡РµСЃРєР°СЏ,Р›Р–Р
817,РјРµР·РµРЅС…РёРјРѕРјР° Р·Р»РѕРєР°С‡РµСЃС‚РІРµРЅРЅР°СЏ,РњР—
820,РёСЃРєСЂРёРІР»РµРЅРёРµ РЅРѕСЃРѕРІРѕР№ РїРµСЂРµРіРѕСЂРѕРґРєРё,РРќРџ
821,РєР°РЅР°Р»РµС† СѓР»РёС‚РєРё,РљРЈ
822,СЂРµР№Р»РµРІР° Р±РѕСЂРѕР·РґР°,Р Р‘
823,Lymphoglandulae subinguinales profundae,LSP
825,РµСЋ РєР°СЂР±РѕРєСЃРёРїРµРїС‚РёРґР°Р·Р°,Р•Рљ
828,РїРѕСЃС‚СЂР°РґРёР°С†РёРѕРЅРЅС‹Рµ СЌС„С„РµРєС‚С‹,РџР­
829,СЌР№С„РѕСЂРёСЏ РёРїРѕС…РѕРЅРґСЂРёС‡РµСЃРєР°СЏ,Р­Р
830,Р°РЅРµРјРёСЏ РїРµСЂРЅРёС†РёРѕР·РЅР°СЏ,РђРџ
831,РљР»Р°РїРїР° СЃРїРѕСЃРѕР±,РљРЎ
833,Р¶РµР»СѓРґРѕС‡РµРє РёР·РѕР»РёСЂРѕРІР°РЅРЅС‹Р№,Р–Р
836,РєРѕСЌС„С„РёС†РёРµРЅС‚ РІРѕСЃРїСЂРѕРёР·РІРѕРґСЃС‚РІР° РЅР°СЃРµР»РµРЅРёСЏ,РљР’Рќ
837,Р±РµС‚Р°-Р°РїРїР»РёРєР°С‚РѕСЂ,Р‘Рђ
840,Р”РёРІРµСЂР° РґСЂРµРЅР°Р¶,Р”Р”
843,РјР°РЅРґРёР±СѓР»СЏСЂРЅР°СЏ РґСѓРіР°,РњР”
844,С‚РµРјРµРЅРЅР°СЏ РѕР±Р»Р°СЃС‚СЊ РЅРёР¶РЅСЏСЏ,РўРћРќ
848,РђРєСЃРµРЅС„РµР»СЊРґР° РєСЂСЋС‡РѕРє,РђРљ
849,Р­РєР°СЌРЅР° Р°РїСЂР°РєС‚РѕР°РіРЅРѕСЃС‚РёС‡РµСЃРєРёР№ СЃРёРЅРґСЂРѕРј,Р­РђРЎ
850,Cerebelli superiores,CS
857,РЅРµР±РЅС‹Рµ РѕС‚РІРµСЂСЃС‚РёСЏ РјР°Р»С‹Рµ,РќРћРњ
859,Sacroilicum dorsale longum,SDL
860,СЃРёРјРїС‚РѕРј РјСѓР»СЏР¶Р°,РЎРњ
863,B. m. trochlearis,BMT
867,Fonticuli posterioris os,FPO
874,РўРёРіРµР»СЏ С€РёРЅР°,РўРЁ
878,РјСѓРєРѕРёРґРЅРѕРµ РІРµС‰РµСЃС‚РІРѕ,РњР’
879,anxietas praecordialis,AP
880,СЃРёРЅРґСЂРѕРј РѕС‚СЂС‹РІР° РѕС‚ РґРѕРјР°,РЎРћРћР”
882,СЃР°СЂРєРѕСЌРЅРґРѕС‚РµР»РёРѕРјР° СЃРёРЅРѕРІРёР°Р»СЊРЅР°СЏ,РЎРЎ
883,Р›РѕСЂР°РЅРґР° Р±РѕР»РµР·РЅСЊ,Р›Р‘
885,РїРѕСЃР»РµСЂРѕРґРѕРІРѕР№ РїРµСЂРёРѕРґ,РџРџ
890,РіСЂР°РЅСѓР»РµРјР° С„СѓРЅРіРѕРёРґРЅР°СЏ,Р“Р¤
891,Р“РѕРІРµСЂСЃР° СЃРёРјРїС‚РѕРј,Р“РЎ
893,С„РµРЅРѕР»СЃРµСЂРЅР°СЏ РєРёСЃР»РѕС‚Р°,Р¤Рљ
898,hydroa vacciniforme,HV
899,СЂРµС†РµРїС‚РѕСЂ РѕРїРёР°С‚РЅС‹Р№,Р Рћ
900,Р›Р°Р№С‚РІСѓРґР° СЃРёРЅРґСЂРѕРј,Р›РЎ
901,РѕСЃС‚РµРѕС…РѕРЅРґСЂРёС‚ Р’РµРіРЅРµСЂР°,РћР’
903,Р“СЂРµСЏ РўРµСЂРЅРµСЂР° СЃРёРјРїС‚РѕРј,Р“РўРЎ
904,РќР°Р±РѕС‚Р° Р¶РµР»РµР·С‹,РќР–
907,РїСЂР°С‡РµС‡РЅР°СЏ РјРµС…Р°РЅРёР·РёСЂРѕРІР°РЅРЅР°СЏ РїРѕР»РµРІР°СЏ,РџРњРџ
908,Lymphoglandulae intercostales,LI
909,СЃРѕРІРµС‚ РІСЂР°С‡РµР±РЅС‹С… РєРѕР»Р»РµРіРёР№,РЎР’Рљ
911,"Calcaneoscaphoideum internum (medium) (Barkow),",CI((
912,СЃРёРЅРґСЂРѕРј С‚СЂРµРІРѕР¶РЅРѕ-РїР°СЂР°РЅРѕРёРґРЅС‹Р№,РЎРўРџ
914,РјРѕРЅСЂРѕРµРІР° Р±РѕСЂРѕР·РґР°,РњР‘
916,Р±СѓР¶-С‰СѓРї,Р‘Р©
922,РЁРЅРµР№РґРµСЂР° РїРµСЂРІРёС‡РЅС‹Р№ Р±СЂРµРґ РѕС‚РЅРѕС€РµРЅРёСЏ,РЁРџР‘Рћ
924,РЅРµР№СЂРѕРЅРёС‚ РІРµСЃС‚РёР±СѓР»СЏСЂРЅС‹Р№,РќР’
925,РіР»Р°Р·РЅРёС‡РЅС‹Р№ РѕС‚СЂРѕСЃС‚РѕРє,Р“Рћ
928,Obturator externus,OE
929,Р°РјРµСЂРѕРёРґРЅС‹Р№ РєРѕРЅСЃС‚СЂРёРєС‚РѕСЂ,РђРљ
930,РґСѓРіР»Р°СЃРѕРІР° Р»РёРЅРёСЏ,Р”Р›
931,Mastoidei rami,MR
933,РєРѕСЂС‚РёРєРѕ-СЃРїРёРЅР°Р»СЊРЅС‹Р№ РїСѓС‚СЊ Р±РѕРєРѕРІРѕР№,РљРЎРџР‘
936,"Cricothyreoideus posticus,",CP
937,РјРѕС‡РєР° СѓС…Р°,РњРЈ
938,Р›РѕСЂС‚РёСѓР°СЂР° Р°СЂС‚СЂРѕРґРµР·,Р›Рђ
939,Р“СѓРЅС‚РµСЂР° СЃРёРЅРґСЂРѕРј,Р“РЎ
941,РѕСЃС‚РµРѕС‚РѕРјРёСЏ-РІРёР»РєРѕРІР°РЅРёРµ,РћР’
942,Р“СѓС‚С‚РјР°РЅРЅР° СЃРёРјРїС‚РѕРј,Р“РЎ
945,РјР°СЂРіР°РЅРµС† СЂР°РґРёРѕР°РєС‚РёРІРЅС‹Р№,РњР 
948,РљРЅРё РєРѕР»РѕСЃС‚РѕРјР°,РљРљ
949,СѓРіРѕР» РїРµСЂРµРґРЅРµР№ РєР°РјРµСЂС‹,РЈРџРљ
950,РєРѕР»Рё-СЃРµРїСЃРёСЃ,РљРЎ
952,РЅРµСЂРІРЅРѕРµ С‚РµР»СЊС†Рµ РєРѕРЅС†РµРІРѕРµ,РќРўРљ
953,РіР»РёРѕС†РёС‚ (-С‹),Р“(Р«
954,РёРЅС‚РѕРєСЃРёРєР°С†РёСЏ РІРѕРґРЅР°СЏ,РР’
959,РјРµРЅСЃС‚СЂСѓР°С†РёСЏ Р±РѕР»РµР·РЅРµРЅРЅР°СЏ,РњР‘
960,РљРµСЂР° СЂР°Р·СЂРµР·,РљР 
963,РђРјСЃР»РµСЂР° РїСѓРЅРєС†РёРѕРЅРЅР°СЏ РёРіР»Р°,РђРџР
964,РҐР°Р№РЅСЃР° РѕРїРµСЂР°С†РёСЏ,РҐРћ
965,СЃР±РѕСЂ РїРѕСЂР°Р¶РµРЅРЅС‹С…,РЎРџ
969,РґРµ Р’РµСЂРґР° РѕРїРµСЂР°С†РёСЏ,Р”Р’Рћ
970,СЏСЂРµРјРЅРѕРµ РѕС‚РІРµСЂСЃС‚РёРµ,РЇРћ
972,Р¶РµР»С‡РЅС‹Р№ РїСѓР·С‹СЂСЊ РґРІРѕР№РЅРѕР№,Р–РџР”
974,С…Р°РІР° С‚СЂР°РїРµР·СѓРЅРґСЃРєР°СЏ,РҐРў
975,РґРёСЃС‚РѕРЅРёСЏ С‚РѕСЂСЃРёРѕРЅРЅР°СЏ,Р”Рў
976,СЃС‚РµСЂРµРѕС‚Р°РєСЃРёС‡РµСЃРєРёРµ РѕСЂРёРµРЅС‚РёСЂС‹ РІРЅСѓС‚СЂРёРјРѕР·РіРѕРІС‹Рµ,РЎРћР’
977,Р°С„С„РµСЂРµРЅС‚РЅС‹Р№ СЃРёРЅС‚РµР·,РђРЎ
979,РїСЂРѕРіСЂРµСЃСЃРёСЏ РѕРїСѓС…РѕР»Рё,РџРћ
980,РќР°РєР°СЏРјС‹ РѕРїРµСЂР°С†РёСЏ,РќРћ
981,СЃРµСЂРґС†Рµ РёСЃРєСѓСЃСЃС‚РІРµРЅРЅРѕРµ,РЎР
